Huffman Codes are:

0/4 : 00
2/2 : 010000000
6/1 : 010000001
0/6 : 01000001
1/3 : 01000010
4/1 : 01000011
5/1 : 01000100
14/1 : 010001010000
1/5 : 0100010100010
3/3 : 010001010001100
3/4 : 01000101000110100
3/5 : 01000101000110101
6/4 : 01000101000110110
1/6 : 0100010100011011100
1/7 : 0100010100011011101
6/6 : 0100010100011011110
7/10 : 010001010001101111100000
3/10 : 0100010100011011111000010
4/2 : 01000101000110111110000110
4/3 : 01000101000110111110000111
1/8 : 01000101000110111110001
3/9 : 0100010100011011111001
7/2 : 010001010001101111101
3/8 : 0100010100011011111100
3/6 : 0100010100011011111101
8/2 : 0100010100011011111110000
8/4 : 01000101000110111111100010
1/10 : 010001010001101111111000110
8/8 : 0100010100011011111110001110
4/5 : 01000101000110111111100011110
4/4 : 010001010001101111111000111110
9/2 : 0100010100011011111110001111110
4/7 : 01000101000110111111100011111110
4/6 : 010001010001101111111000111111110
2/3 : 0100010100011011111110001111111110
0/10 : 01000101000110111111100011111111110
0/8 : 010001010001101111111000111111111110
11/7 : 010001010001101111111000111111111111000000000000000000
5/9 : 0100010100011011111110001111111111110000000000000000010
2/9 : 01000101000110111111100011111111111100000000000000000110
12/9 : 0100010100011011111110001111111111110000000000000000011100
5/10 : 01000101000110111111100011111111111100000000000000000111010
12/2 : 01000101000110111111100011111111111100000000000000000111011
12/1 : 010001010001101111111000111111111111000000000000000001111
11/9 : 0100010100011011111110001111111111110000000000000000100
11/8 : 0100010100011011111110001111111111110000000000000000101
5/6 : 010001010001101111111000111111111111000000000000000011
10/10 : 0100010100011011111110001111111111110000000000000001
10/7 : 010001010001101111111000111111111111000000000000001
11/2 : 01000101000110111111100011111111111100000000000001000
11/3 : 01000101000110111111100011111111111100000000000001001
10/9 : 0100010100011011111110001111111111110000000000000101
10/6 : 010001010001101111111000111111111111000000000000011
5/4 : 0100010100011011111110001111111111110000000000001
9/7 : 010001010001101111111000111111111111000000000001
9/3 : 01000101000110111111100011111111111100000000001
8/9 : 0100010100011011111110001111111111110000000001
8/6 : 010001010001101111111000111111111111000000001
10/3 : 01000101000110111111100011111111111100000001000000
11/6 : 0100010100011011111110001111111111110000000100000100000
5/8 : 01000101000110111111100011111111111100000001000001000010
13/1 : 01000101000110111111100011111111111100000001000001000011000
13/4 : 010001010001101111111000111111111111000000010000010000110010
13/7 : 0100010100011011111110001111111111110000000100000100001100110
13/10 : 01000101000110111111100011111111111100000001000001000011001110
12/5 : 010001010001101111111000111111111111000000010000010000110011110
12/7 : 0100010100011011111110001111111111110000000100000100001100111110000
15/9 : 0100010100011011111110001111111111110000000100000100001100111110001
15/5 : 010001010001101111111000111111111111000000010000010000110011111001
15/1 : 01000101000110111111100011111111111100000001000001000011001111101
14/7 : 0100010100011011111110001111111111110000000100000100001100111111
12/3 : 01000101000110111111100011111111111100000001000001000011010
13/5 : 010001010001101111111000111111111111000000010000010000110110
13/8 : 0100010100011011111110001111111111110000000100000100001101110
2/8 : 0100010100011011111110001111111111110000000100000100001101111000000
2/10 : 0100010100011011111110001111111111110000000100000100001101111000001
15/7 : 010001010001101111111000111111111111000000010000010000110111100001
15/3 : 01000101000110111111100011111111111100000001000001000011011110001
14/9 : 0100010100011011111110001111111111110000000100000100001101111001
14/5 : 010001010001101111111000111111111111000000010000010000110111101
6/3 : 0100010100011011111110001111111111110000000100000100001101111100000
12/6 : 0100010100011011111110001111111111110000000100000100001101111100001
15/6 : 010001010001101111111000111111111111000000010000010000110111110001
15/2 : 01000101000110111111100011111111111100000001000001000011011111001
14/8 : 0100010100011011111110001111111111110000000100000100001101111101
12/4 : 010001010001101111111000111111111111000000010000010000110111111
